lsmh_id,lifepak_id,action,notes
LSMH02190,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02191,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02195,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02206,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02209,238198,keep,
LSMH02210,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02213,247895,keep,
LSMH02217,746951,keep,
LSMH02235,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02238,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02240,232359,keep,
LSMH02242,776124,keep,
LSMH02243,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02254,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02255,657123,keep,
LSMH02256,913989,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02257,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02259,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02260,507008,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02261,093827,keep,
LSMH02262,573442,keep,
LSMH02264,443464,keep,
LSMH02265,948300,keep,
LSMH02270,379350,keep,
LSMH02273,356158,keep,
LSMH02275,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02283,517428,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02295,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02307,384741,keep,
LSMH02311,594968,keep,
LSMH02319,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02322,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02326,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02329,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02333,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02339,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02344,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02350,NA,keep,"Opted out but data can be used, per README_ttt_p2_data_collection"
LSMH02352,563895,keep,
LSMH02364,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02373,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02386,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02388,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02405,413115,drop,"Invalid, per README_ttt_p2_data_collection"
LSMH02407,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02409,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02410,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02416,922728,keep,
LSMH02420,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02422,095929,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH02422,632541,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH02423,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02427,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02428,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02434,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02437,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02442,987930,keep,
LSMH02443,474584,keep,
LSMH02454,436476,keep,
LSMH02455,776554,keep,
LSMH02460,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02463,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02466,587713,keep,
LSMH02467,762466,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02470,681809,keep,
LSMH02471,458020,keep,
LSMH02472,064118,keep,
LSMH02477,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02478,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02484,482692,keep,
LSMH02485,581906,keep,
LSMH02488,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02489,300227,keep,
LSMH02491,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02493,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02494,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02496,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02497,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02499,466172,keep,
LSMH02504,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02508,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02509,891450,keep,
LSMH02512,019345,keep,
LSMH02513,849302,keep,
LSMH02520,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02522,936838,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02527,274472,keep,
LSMH02528,533690,keep,
LSMH02533,551833,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02534,353343,keep,
LSMH02535,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02539,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02542,716962,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02549,104455,keep,
LSMH02554,530417,keep,
LSMH02555,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02564,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02567,355640,keep,
LSMH02569,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02583,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02585,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02586,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02588,646972,keep,
LSMH02591,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02595,219199,keep,
LSMH02596,615984,keep,
LSMH02599,971043,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02600,NA,drop,"""Not eligible,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02604,023789,keep,
LSMH02612,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02613,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02618,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02625,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02626,428372,keep,
LSMH02633,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02636,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02643,559231,keep,
LSMH02645,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02647,828843,keep,
LSMH02648,266094,keep,
LSMH02657,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02661,373999,keep,
LSMH02664,972202,keep,
LSMH02665,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02667,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02671,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02672,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02676,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02679,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02688,347301,keep,
LSMH02691,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02693,425756,keep,
LSMH02697,483182,keep,
LSMH02699,151295,keep,
LSMH02701,247910,keep,
LSMH02707,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02723,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02737,933592,keep,
LSMH02739,267552,keep,
LSMH02745,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02751,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02756,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02758,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02760,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02764,541040,keep,
LSMH02765,630437,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02772,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02774,977457,keep,
LSMH02782,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02786,056379,keep,
LSMH02788,129681,keep,
LSMH02790,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02793,976398,keep,
LSMH02795,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02798,341148,keep,
LSMH02804,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02805,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02806,892756,keep,
LSMH02808,245736,keep,
LSMH02810,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02822,014379,keep,
LSMH02832,750032,keep,
LSMH02835,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02843,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02848,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02852,451137,keep,
LSMH02856,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02864,783039,keep,
LSMH02866,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02879,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02884,948661,keep,
LSMH02889,683517,keep,
LSMH02893,833863,keep,
LSMH02904,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02908,834971,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02921,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02927,NA,drop,"""Not eligible,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02930,834337,keep,
LSMH02931,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH12345,NA,drop,Apparent test data
NA,162922,drop,"Test data, per README_ttt_p2_data_collection"
NA,200466,drop,"Test data, per Piloting Feedback TTT P2 LifePak"
NA,428939,drop,"Test data, per Piloting Feedback TTT P2 LifePak"
NA,093122,drop,"Test data, per Piloting Feedback TTT P2 LifePak"
